code,month,december,Yreli,Yprev,Eprev,Ereli,board,easting,northing,dispensing,perc_white,price_med,pm10,pm25,urban
10002,Oct-15,0,147,50,49.27426916,207.8349535,TAYSIDE,334.464,734.231,N,98.2857143,190000,14.1111228,7.785400352,rural
10017,Oct-15,0,179,61,47.61936082,200.8546815,TAYSIDE,286.284,721.318,N,96.3386728,91498,14.07411952,8.424805599,smalltown
10036,Oct-15,0,69,21,32.33100775,136.3696226,TAYSIDE,285.313,748.97,Y,99.1725768,161825,11.2137283,6.09461146,rural
10106,Oct-15,0,124,23,41.97201854,177.0346404,TAYSIDE,345.697,731.077,N,96.996663,160000,13.11309025,7.231173167,urban
10125,Oct-15,0,145,19,29.1922221,123.1304741,TAYSIDE,324.669,748.039,N,98.9888777,124500,13.7881909,7.743682419,rural
10182,Oct-15,0,404,78,63.91226763,269.5768684,TAYSIDE,364.41,740.936,N,97.1393035,81500,12.38518436,6.908071413,urban
10233,Oct-15,0,322,41,40.88797469,172.4622295,TAYSIDE,364.44,741.12,N,97.1393035,81500,13.92771487,8.247616663,urban
10286,Oct-15,0,136,18,27.62816931,116.5334237,TAYSIDE,364.54,741.115,N,97.1393035,81500,13.92771487,8.247616663,urban
10322,Oct-15,0,257,56,45.1209169,190.3164436,TAYSIDE,364.54,741.115,N,97.1393035,81500,13.92771487,8.247616663,urban
10361,Oct-15,0,198,42,62.11673901,262.0034712,TAYSIDE,293.787,712.528,N,99.1745283,235000,12.92274125,7.101546143,smalltown
10407,Oct-15,0,186,38,57.42163489,242.199895,TAYSIDE,317.448,744.644,N,99.5774648,169995,12.76048073,7.096704218,smalltown
10445,Oct-15,0,103,17,22.54211895,95.08086721,TAYSIDE,317.786,744.931,N,95.8283671,169995,12.76048073,7.096704218,smalltown
10498,Oct-15,0,315,44,62.77911267,264.7973107,TAYSIDE,360.205,760.421,N,99.8412698,81062,14.64720121,8.337506103,smalltown
10553,Oct-15,0,55,15,21.72661121,91.64112036,TAYSIDE,313.224,718.184,N,99.2561105,162000,14.29921958,8.025092878,rural
10638,Oct-15,0,369,73,88.9435257,375.1567267,TAYSIDE,354.889,734.496,N,98.9361702,117750,13.65240627,7.559532616,urban
10708,Oct-15,0,55,13,18.73197258,79.00997246,TAYSIDE,277.798,721.722,N,98.4505364,181000,12.26994117,6.715200119,rural
10835,Oct-15,0,120,28,28.62117151,120.7218281,TAYSIDE,286.284,721.318,N,96.3386728,91498,14.07411952,8.424805599,smalltown
11005,Oct-15,0,169,29,31.49142104,132.8283126,TAYSIDE,341.22,731.422,N,86.6580311,66000,13.82457793,7.700985555,urban
11058,Oct-15,0,215,30,44.12594935,186.1197495,TAYSIDE,339.855,730.093,N,81.4070352,110000,13.87799556,7.771849675,urban
11096,Oct-15,0,130,38,28.55868874,120.4582807,TAYSIDE,338.077,731.176,N,95.1079137,1.00E+05,13.4419875,7.446174625,urban
11128,Oct-15,0,175,41,55.7725409,235.2441476,TAYSIDE,341.116,731.055,N,92.4608819,66000,13.82457793,7.700985555,urban
11166,Oct-15,0,209,49,51.69287347,218.0364344,TAYSIDE,339.643,731.96,N,92.1625544,74500,13.66533702,7.587247229,urban
11171,Oct-15,0,284,51,67.60554135,285.1548036,TAYSIDE,335.689,730.94,N,91.3368984,67000,13.28739598,7.32145483,urban
11289,Oct-15,0,272,51,44.18992543,186.3895955,TAYSIDE,341.06,730.956,N,91.2371134,125000,13.34734597,7.402942631,urban
11306,Oct-15,0,158,43,64.34078252,271.3843101,TAYSIDE,346.022,730.839,N,97.0954357,160000,12.73685584,6.970367992,urban
11363,Oct-15,0,222,31,66.44753126,280.270409,TAYSIDE,338.998,729.893,N,89.3503727,125000,13.12730208,7.246811779,urban
11382,Oct-15,0,225,38,60.41220211,254.81387,TAYSIDE,340.976,731.092,N,89.9315738,66000,14.01516441,7.828334079,urban
11414,Oct-15,0,114,31,29.66721099,125.1339395,TAYSIDE,339.053,729.853,N,89.3503727,125000,13.25351599,7.34551376,urban
11486,Oct-15,0,259,43,43.98650466,185.5315828,TAYSIDE,340.907,731.216,N,89.9315738,66000,14.01516441,7.828334079,urban
11645,Oct-15,0,308,55,55.00928521,232.0247957,TAYSIDE,340.907,731.216,N,89.9315738,66000,14.01516441,7.828334079,urban
11650,Oct-15,0,174,31,38.08017615,160.6191583,TAYSIDE,341.053,731.442,N,86.6580311,66000,13.82457793,7.700985555,urban
11823,Oct-15,0,222,43,50.53527188,213.1537628,TAYSIDE,338.968,733.292,N,98.4195402,88250,13.25193188,7.305265805,urban
11861,Oct-15,0,181,44,55.38238897,233.5985177,TAYSIDE,340.032,731.12,N,87.1277618,74500,14.01516441,7.828334079,urban
11931,Oct-15,0,252,52,49.0246558,206.7821042,TAYSIDE,341.126,731.672,N,86.6580311,66000,13.82457793,7.700985555,urban
12210,Oct-15,0,96,14,20.635237,87.03779063,TAYSIDE,338.077,731.176,N,95.1079137,1.00E+05,13.4419875,7.446174625,urban
12281,Oct-15,0,174,34,51.24140073,216.1321582,TAYSIDE,339.931,729.929,N,81.4070352,110000,13.25351599,7.34551376,urban
12831,Oct-15,0,269,31,30.46679165,128.5065072,TAYSIDE,337.897,731.426,N,96.8858131,1.00E+05,13.33048481,7.388597602,urban
12901,Oct-15,0,68,19,10.11382554,42.65931278,TAYSIDE,342.622,736.37,N,97.9970326,107500,14.77291491,8.192205014,urban
12991,Oct-15,0,58,10,16.40989748,69.21564413,TAYSIDE,341.168,731.517,N,86.6580311,66000,13.82457793,7.700985555,urban
13049,Oct-15,0,85,25,26.71118948,112.6656756,TAYSIDE,302.62,742.23,N,98.7699877,189750,12.05501169,6.694901063,rural
13091,Oct-15,0,51,9,14.19275312,59.86390536,TAYSIDE,360.032,769.039,N,98.4359726,115000,13.72198393,7.462690511,rural
13142,Oct-15,0,58,22,19.10978773,80.60356677,TAYSIDE,325.134,722.827,N,99.5930824,170995,14.44929421,8.155057358,rural
13195,Oct-15,0,90,25,23.66330478,99.80994,TAYSIDE,345.558,750.391,N,99.2957746,78000,14.20870542,8.210304839,urban
13231,Oct-15,0,301,74,72.89944701,307.4840771,TAYSIDE,345.976,750.649,N,97.747184,78000,14.20870542,8.210304839,urban
13284,Oct-15,0,186,45,39.72565716,167.5596665,TAYSIDE,345.776,750.395,N,98.8713318,78000,14.20870542,8.210304839,urban
13335,Oct-15,0,121,21,22.83416213,96.31268216,TAYSIDE,359.298,749.716,N,98.6784141,187250,14.79539988,8.341315342,rural
13369,Oct-15,0,50,6,10.63449412,44.85545149,TAYSIDE,334.622,730.196,N,94.9799197,67000,14.60070936,8.205488324,urban
13481,Oct-15,0,225,55,64.50998437,272.0979901,TAYSIDE,311.705,703.427,N,98.5347985,135500,14.10892817,7.804651277,smalltown
13496,Oct-15,0,78,26,20.45138805,86.26233036,TAYSIDE,311.705,703.427,N,98.5347985,135500,14.10892817,7.804651277,smalltown
13532,Oct-15,0,246,63,58.54613414,246.9429435,TAYSIDE,338.422,753.924,N,98.4280532,118000,14.2946917,8.201871043,smalltown
13571,Oct-15,0,198,43,63.58340019,268.1897316,TAYSIDE,349.512,732.507,N,97.4666667,150000,12.65796037,6.926441651,urban
13621,Oct-15,0,303,77,44.82022708,189.0481578,TAYSIDE,372.172,757.699,N,98.5522234,90000,12.900283,7.16901208,urban
13660,Oct-15,0,158,21,30.34569781,127.995743,TAYSIDE,372.172,757.699,N,98.5522234,90000,12.900283,7.16901208,urban
13706,Oct-15,0,181,45,38.86834143,163.9435769,TAYSIDE,372.172,757.699,N,98.5522234,90000,12.900283,7.16901208,urban
13848,Oct-15,0,161,14,40.64671748,171.4446258,TAYSIDE,310.871,723.411,N,97.2012917,150788,13.54548751,7.725238663,urban
13891,Oct-15,0,198,57,57.43154789,242.2417073,TAYSIDE,310.935,723.769,N,97.2012917,150788,13.54548751,7.725238663,urban
13941,Oct-15,0,248,82,68.06191159,287.079737,TAYSIDE,310.871,723.411,N,97.2012917,150788,13.54548751,7.725238663,urban
13975,Oct-15,0,127,17,22.85322559,96.39309033,TAYSIDE,311.492,723.831,N,91.4907652,81000,15.78732296,9.873815462,urban
14037,Oct-15,0,297,93,87.55583265,369.3035476,TAYSIDE,310.553,723.562,N,98.6445783,150788,13.54548751,7.725238663,urban
14249,Oct-15,0,228,54,40.36996592,170.2773097,TAYSIDE,310.935,723.769,N,97.2012917,150788,13.54548751,7.725238663,urban
14291,Oct-15,0,190,40,58.92248322,248.530354,TAYSIDE,311.251,723.444,N,92.3670669,81000,15.78732296,9.873815462,urban
14342,Oct-15,0,180,41,41.25456055,174.0084596,TAYSIDE,311.492,723.831,N,91.4907652,81000,15.78732296,9.873815462,urban
14501,Oct-15,0,110,28,35.0188971,147.7069264,TAYSIDE,293.725,757.977,N,97.8723404,161825,11.44286685,6.178145116,rural
14569,Oct-15,0,83,29,26.73922185,112.7839139,TAYSIDE,311.148,733.151,N,99.1023339,150000,13.44215733,7.508993744,rural
16013,Oct-15,0,86,25,21.66772326,91.39273567,BORDERS,348.887,636.422,N,94.5477076,81748,12.69013345,7.128206984,urban
16032,Oct-15,0,251,72,46.12128123,194.5359008,BORDERS,365.164,620.675,N,98,97750,14.41836196,8.884333419,smalltown
16047,Oct-15,0,49,16,11.5580463,48.75092124,BORDERS,348.333,587.822,Y,99.0885417,85000,14.75604254,9.448301102,rural
16051,Oct-15,0,156,42,46.80378046,197.4146284,BORDERS,357.741,631.702,N,99.1428571,132500,14.46241445,8.475556656,rural
16066,Oct-15,0,233,68,43.4552604,183.2908367,BORDERS,386.941,656.46,N,99.7088792,166500,17.32196456,10.96930816,rural
