"color","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","genres","actor_1_name","movie_title","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","plot_keywords","movie_imdb_link","num_user_for_reviews","language","country","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes"
"Color","Terrence Malick",584,139,0,687,"Tye Sheridan",11000,13303319,"Drama|Fantasy","Brad Pitt","The Tree of Life ",136367,13021,"Fiona Shaw",0,"1950s|children|ice cube|texas|waco texas","http://www.imdb.com/title/tt0478304/?ref_=fn_tt_tt_1",975,"English","USA","PG-13",3.2e+07,2011,1000,6.7,1.85,39000
"Color","Richard Dutcher",12,119,13,25,"Frank Gerrish",957,798341,"Crime|Drama|Mystery","Wilford Brimley","Brigham City ",983,1107,"Rick Macy",0,"fbi agent|mormon|prayer|sheriff|utah","http://www.imdb.com/title/tt0268200/?ref_=fn_tt_tt_1",63,"English","USA","PG-13",1e+06,2001,81,7.2,1.85,100
"","Tung-Shing Yee",53,119,3,19,"Daniel Wu",556,NA,"Action|Crime|Drama|Thriller","Bingbing Fan","Shinjuku Incident ",9177,996,"Yasuaki Kurata",4,"chinese|gang|gratitude|immigrant|japan","http://www.imdb.com/title/tt1075419/?ref_=fn_tt_tt_1",53,"Mandarin","Hong Kong","R",1.5e+07,2009,353,7.1,2.35,821
"Color","Derek Cianfrance",417,140,310,619,"Ben Mendelsohn",33000,21383298,"Crime|Drama|Thriller","Ryan Gosling","The Place Beyond the Pines ",187170,34413,"Angelo Anthony Pizza",3,"bank|carnival|motorcycle|police|rookie cop","http://www.imdb.com/title/tt1817273/?ref_=fn_tt_tt_1",376,"English","USA","R",1.5e+07,2012,748,7.3,2.35,47000
"Color","Ethan Coen",535,104,1000,272,"Max Casella",3000,13214255,"Drama|Music","Justin Timberlake","Inside Llewyn Davis ",96233,4082,"Alex Karpovsky",1,"1960s|car hitting an animal|folk singer|friend|singer","http://www.imdb.com/title/tt2042568/?ref_=fn_tt_tt_1",313,"English","USA","R",1.1e+07,2013,275,7.4,1.85,26000
"Color","Peter Hewitt",63,83,12,690,"Rip Torn",2000,11631245,"Action|Adventure|Family|Sci-Fi","Kevin Zegers","Zoom ",15015,5022,"Thomas F. Wilson",5,"bruise|female hero|super strength|superhero|teenage superhero","http://www.imdb.com/title/tt0383060/?ref_=fn_tt_tt_1",113,"English","USA","PG",3.5e+07,2006,826,4.2,1.85,494
"Color","Christopher Morris",246,97,69,106,"Riz Ahmed",414,304137,"Comedy|Crime|Drama","Kayvan Novak","Four Lions ",55982,1269,"Alex Macqueen",0,"accidental shooting|bird|crow|exploding animal|muslim","http://www.imdb.com/title/tt1341167/?ref_=fn_tt_tt_1",148,"English","UK","R",NA,2010,365,7.3,1.85,17000
"Color","Peter Berg",234,110,532,461,"Frances Fisher",3000,47456450,"Action|Drama|Thriller","Jennifer Garner","The Kingdom ",101386,5187,"Tim McGraw",1,"al qaeda|bomb making|fbi|saudi arabia|stabbed in the crotch","http://www.imdb.com/title/tt0431197/?ref_=fn_tt_tt_1",289,"English","USA","R",7e+07,2007,638,7.1,2.35,0
"Color","Maggie Greenwald",39,109,9,280,"David Patrick Kelly",767,3050934,"Drama|Music","Aidan Quinn","Songcatcher ",2794,2187,"Jane Adams",1,"doctor|mountain|musician|song|university","http://www.imdb.com/title/tt0210299/?ref_=fn_tt_tt_1",78,"English","USA","PG-13",1800000,2000,380,7.3,1.85,0
"Color","Spike Lee",230,129,0,277,"James Ransone",18000,88504640,"Crime|Drama|Mystery|Thriller","Denzel Washington","Inside Man ",273108,19148,"Peter Gerety",2,"bank|detective|negotiation|police|robber","http://www.imdb.com/title/tt0454848/?ref_=fn_tt_tt_1",646,"English","USA","R",4.5e+07,2006,412,7.6,2.35,0
"Color","Mark Neveldine",170,93,83,501,"Edi Gathegi",26000,27829874,"Action|Crime|Thriller","Jason Statham","Crank ",196422,28767,"Jose Pablo Cantillo",1,"assassin|cult film|doctor|heart|poison","http://www.imdb.com/title/tt0479884/?ref_=fn_tt_tt_1",444,"English","USA","R",1.2e+07,2006,725,7,1.78,0
"Color","George Gallo",45,88,269,384,"Eddie Griffin",1000,20218,"Action|Comedy|Crime|Thriller","Daniel Roebuck","Double Take ",5431,2557,"Garcelle Beauvais",2,"cia|cia agent|fbi|mexico|train","http://www.imdb.com/title/tt0238948/?ref_=fn_tt_tt_1",50,"English","USA","PG-13",2.4e+07,2001,489,5.3,2.35,204
" Black and White","Shane Meadows",44,96,222,20,"Annette Badland",5000,NA,"Comedy|Drama|Romance|Sport","Bob Hoskins","24 7: Twenty Four Seven ",2081,5535,"Karl Collins",2,"fight|gang|hiking|wales|working class","http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1",21,"English","UK","R",NA,1997,497,7.1,1.85,224
"Color","Jonathan Liebesman",310,99,473,502,"Edgar Ramírez",14000,83640426,"Action|Adventure|Fantasy","Liam Neeson","Wrath of the Titans ",152826,16184,"Lily James",0,"ares|hades|titan|underworld|zeus","http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1",253,"English","USA","PG-13",1.5e+08,2012,897,5.8,1.85,19000
"Color","",10,NA,NA,502,"Tuppence Middleton",1000,NA,"Drama|History|Romance|War","Jim Broadbent","War & Peace             ",9277,4528,"Lily James",1,"male frontal nudity|male nudity|tv mini series","http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1",44,"English","UK","TV-14",NA,NA,888,8.2,16,11000
"Color","Martin Brest",131,121,102,43,"Lenny Venito",117,5660084,"Comedy|Crime|Romance","Todd Giebenhain","Gigli ",41620,286,"David Backus",0,"gangster|hospital|lesbian|mob|thug","http://www.imdb.com/title/tt0299930/?ref_=fn_tt_tt_1",418,"English","USA","R",5.4e+07,2003,62,2.4,2.35,2000
"Color","Vincente Minnelli",41,102,136,48,"Reginald Owen",89,2956000,"Adventure|Comedy|Musical|Romance","Gladys Cooper","The Pirate ",3258,282,"Ellen Ross",0,"hoop|horseback riding|love|pirate|singer","http://www.imdb.com/title/tt0040694/?ref_=fn_tt_tt_1",54,"English","USA","Approved",3700000,1948,78,7.1,1.37,359
"Color","Robert Lee King",51,85,0,209,"Kathleen Robertson",945,265107,"Comedy|Horror|Mystery","Lauren Ambrose","Psycho Beach Party ",4617,2282,"Beth Broderick",1,"cliche|exchange student|slasher|spoof|surfing","http://www.imdb.com/title/tt0206226/?ref_=fn_tt_tt_1",93,"English","Australia","Unrated",1500000,2000,774,6.3,1.85,614
"Color","Peter Chelsom",62,104,23,591,"Warren Beatty",752,6712451,"Comedy|Romance","Del Zamora","Town & Country ",4102,3133,"Garry Shandling",0,"anniversary|architect|cellist|friend|hardware store","http://www.imdb.com/title/tt0141907/?ref_=fn_tt_tt_1",89,"English","New Line","R",9e+07,2001,631,4.4,1.85,53
"Color","Gina Prince-Bythewood",68,124,107,865,"Sanaa Lathan",1000,27441122,"Drama|Romance|Sport","Alfre Woodard","Love & Basketball ",14322,5135,"Omar Epps",0,"basketball movie|female basketball player|high school|nba|title directed by female","http://www.imdb.com/title/tt0199725/?ref_=fn_tt_tt_1",116,"English","USA","PG-13",1.5e+07,2000,886,7.2,1.85,0
